"","Time","JP_CPI","CN_CPI","US_CPI","AU_CPI","JP_GDP","CN_GDP","US_GDP","AU_GDP","JP_XCH","CN_XCH","AU_XCH"
"1",1994 Q1,0.137033230558478,8.49684364993039,0.640292705236618,0.490196078431368,13.9688921941337,12.4846050989896,14.4164747932922,11.4006629741185,107.619716666667,8.70186666666667,1.41307666666667
"2",1994 Q2,0.410537119397783,5.02022104496486,0.636219041127045,0.650406504065045,14.0234771915362,11.9275480091232,14.4087803045253,11.346996133746,103.32686,8.67253333333333,1.38018
"3",1994 Q3,-0.27257240204423,5.25193267368678,0.880559945811718,0.646203554119552,14.0738383361225,11.7743476613657,14.41406927582,11.4160655048536,99.05081,8.59013333333333,1.35332666666667
"4",1994 Q4,0.546634779637826,5.80003334447014,0.470008952551399,0.802568218298553,14.0916430316161,9.88632687692695,14.4219647738996,11.3922209214054,98.8338366666667,8.51043733333333,1.32442
"5",1995 Q1,-0.543662928984002,4.81977014005721,0.824237023836121,1.59235668789809,14.0870574923826,12.6118504819071,14.469167980682,11.5007038061855,96.2589666666667,8.43476666666667,1.33559666666667
"6",1995 Q2,0.239152716091555,2.57115453601569,0.883782589482945,1.41065830721003,14.2422140132735,12.1759296410529,14.4561751341738,11.4082733024358,84.4313433333333,8.34713333333333,1.37408333333333
"7",1995 Q3,-0.238582140422625,0.884929759681548,0.43802014892688,1.23647604327667,14.1471182449471,12.0703526231364,14.4599392867657,11.4671948293572,94.0855833333333,8.3089,1.35031333333333
"8",1995 Q4,-0.0683293474547159,2.45233399192816,0.47972088966417,0.763358778625952,14.0952476416233,11.1024042823103,14.4649708014115,11.4649684280624,101.462423333333,8.31486666666667,1.33613666666667
"9",1996 Q1,-0.273504273504309,3.16148272386812,0.911458333333381,0.303030303030305,14.0227504258564,12.713834438234,14.5149983935369,11.5704315681571,105.79271,8.32023333333333,1.32254333333333
"10",1996 Q2,0.719917723688802,2.28796780955218,0.989247311827939,0.755287009063442,14.0344894839271,12.3234472767877,14.5113663939393,11.5607937835897,107.58911,8.3276,1.26301
"11",1996 Q3,-0.170183798502392,-0.169207658686233,0.532367972742761,0.299850074962521,14.0240982976316,12.2258198757182,14.5172301426149,11.5831853273626,108.940183333333,8.30946666666667,1.26843666666667
"12",1996 Q4,0.272758267984935,1.54115132897733,0.720186401186182,0.149476831091175,14.0094050997602,11.5392231929126,14.5273333497426,11.5849440227316,112.794223333333,8.2994,1.25746333333333
"13",1997 Q1,-0.238014280856845,1.41991063891551,0.672975814931655,0.149253731343292,13.9122772931465,12.7874408289528,14.5720665275543,11.6357413819576,121.222603333333,8.29496666666667,1.28501666666667
"14",1997 Q2,2.18132242672118,0.121630447311444,0.396908293294331,-0.298062593144562,13.9475439475032,12.4294653928451,14.57160185847,11.5894546382562,119.568093333333,8.29356666666667,1.30029
"15",1997 Q3,-0.0333555703801975,-0.950312280479601,0.395339159384096,-0.448430493273553,13.9611892539662,12.3344545759128,14.58030910861,11.5721815311755,117.934566666667,8.28923333333333,1.35925
"16",1997 Q4,0.266933600266871,0.418609625880188,0.393782383419722,0.300300300300302,13.9034151367535,11.7481313156151,14.5893420167858,11.4967817738817,125.238186666667,8.2815,1.44496333333333
"17",1998 Q1,-0.399334442595677,0.716609068992898,0.268373245251829,0.299401197604792,13.8506563235682,12.8333694060343,14.6256189250169,11.5513124352096,128.04851,8.27913333333333,1.50203333333333
"18",1998 Q2,0.501169395255625,-1.03976101635117,0.535309862054762,0.597014925373138,13.8099609105579,12.4842542498783,14.6265455039288,11.4341705766304,135.74456,8.2793,1.59121666666667
"19",1998 Q3,-0.565159574468098,-1.5191376352325,0.389105058365751,0.148367952522249,13.7753807883175,12.4011537890055,14.6324248360167,11.4229476863631,139.994049333333,8.27956666666667,1.66995666666667
"20",1998 Q4,1.0030090270813,0.758650605858632,0.346797225622145,0.444444444444455,13.9376822864733,11.9004442802492,14.6487862147104,11.4364744322172,119.834083333333,8.27783333333333,1.60410666666667
"21",1999 Q1,-1.02615028136379,0.376823305152793,0.386257369384094,0,13.928506491351,12.8748690729891,14.6828461436567,11.5604496157057,116.53999,8.2787,1.57838666666667
"22",1999 Q2,0.334448160535039,-1.77606548878278,0.972053462940434,0.442477876106191,13.9120578551621,12.5408331783848,14.6862806298053,11.5248777752755,120.940313333333,8.27856333333333,1.53096666666667
"23",1999 Q3,-0.299999999999979,-0.509342043152684,0.621740874448465,0.881057268722459,13.9682729916055,12.4628658767692,14.6933641595708,11.5579170965322,113.610583333333,8.27743,1.53711
"24",1999 Q4,0,1.09623349022513,0.617899142914114,0.582241630276569,14.0551740379885,12.0170380221411,14.7136349494659,11.5251008552406,104.536333333333,8.27830666666667,1.55333666666667
"25",2000 Q1,-0.635239050484785,1.32190636738573,0.990491283676705,0.868306801736619,14.02896045923,12.9339857893593,14.746223034367,11.6268199148655,107.059656666667,8.27864333333333,1.5835
"26",2000 Q2,0.235531628532968,-1.77995556689281,1.05923891722237,0.717360114777616,14.0484223774081,12.6425160792512,14.7592583331928,11.4997634540749,106.607333333333,8.27819666666667,1.69535
"27",2000 Q3,-0.23497818059751,-0.343274022298118,0.795807453416197,3.84615384615384,14.0337415120984,12.5798170509354,14.7555215292333,11.5175186593775,107.574013333333,8.27952333333334,1.74166
"28",2000 Q4,-0.134589502018811,1.76781615804302,0.53918736761023,0.274348422496572,14.0169463570541,12.191529518344,14.7655463397512,11.3853447122236,109.82099,8.27765333333333,1.87879666666667
"29",2001 Q1,-0.303234501347785,1.05454837238631,0.957670944263603,1.09439124487005,13.9488961017906,13.0114120769309,14.7900368385529,11.5232911109163,118.08564,8.2774,1.88335
"30",2001 Q2,-0.0675904021628772,-0.898398034989307,1.04344526655281,0.811907983761833,13.9101018145015,12.7422542911732,14.7926083530907,11.4141743835723,122.636943333333,8.27713,1.9498
"31",2001 Q3,-0.270544470747316,-1.10332284790056,0.131430717236166,0.268456375838928,13.8980870645339,12.6835359077203,14.7838047637855,11.4577809546248,121.743913333333,8.27689,1.94703666666667
"32",2001 Q4,-0.373007799254045,0.832516945699001,-0.281267579223678,0.937081659973226,13.8618705789262,12.3354463367298,14.7870017904124,11.42572314006,123.649293333333,8.27685333333333,1.95358333333333
"33",2002 Q1,-0.714771953709988,0.595987445758479,0.357277171869117,0.928381962864721,13.8041221144898,13.069376773888,14.8156064854984,11.5592457058274,132.459553333333,8.27680333333333,1.93013666666667
"34",2002 Q2,0.44566335275973,-1.30158561393401,1.08675285741049,0.657030223390274,13.859015926942,12.8258828508262,14.8169397873171,11.5638930023152,127.05139,8.27708,1.81419333333333
"35",2002 Q3,-0.170648464163832,-0.869918491623269,0.42632066728457,0.652741514360324,13.9140596644177,12.7875239530012,14.8211100442349,11.5925000605254,119.146073333333,8.27682,1.82556666666667
"36",2002 Q4,-0.102564102564128,0.999664499886214,0.313768918420084,0.648508430609596,13.8679247177127,12.4946950284901,14.8288743447861,11.5892840236748,122.89506,8.27712666666667,1.79235333333333
"37",2003 Q1,-0.410677618069819,1.67149291215036,1.01195952161908,1.28865979381443,13.9030609677865,13.1554865868234,14.85619623158,11.7336131487437,118.821116666667,8.27709666666667,1.68707666666667
"38",2003 Q2,0.446735395188949,-1.16423792345454,0.364298724954523,0,13.9296120134605,12.9290206108215,14.8564021527214,11.7637246242389,118.439523333333,8.27703666666667,1.56338666666667
"39",2003 Q3,-0.17105713308236,-0.675350581166319,0.490018148820318,0.636132315521627,13.9269891464159,12.9152333531961,14.8694697396833,11.8315773344618,117.569496666667,8.27711666666667,1.51956
"40",2003 Q4,-0.171350239890346,2.82476136473033,0.018060321473753,0.505689001264226,13.9979767095708,12.6912326691509,14.8886563719681,11.9345385961205,108.90372,8.27689666666667,1.39763333333333
"41",2004 Q1,-0.240302094061099,1.8048707440482,0.902853015529038,0.880503144654088,14.0212964468466,13.2601298317873,14.9181233668828,12.0453955915409,107.22782,8.27708,1.30667666666667
"42",2004 Q2,0.275292498279358,0.331975598158901,1.4316392269148,0.498753117206986,14.0099634338144,13.0951430981305,14.9249683721489,11.9594715341766,109.747623333333,8.27688333333333,1.39965
